eta,f,f',f''
1.64,0.436780910700814,0.526714416807317,0.293512588639927
1.65,0.442048054868887,0.529649542693716,0.292871585161085
1.66,0.447344550295824,0.532578258545327,0.292224268588351
1.67,0.452670332881277,0.535500501231211,0.291570643918265
1.68,0.458025337893589,0.538416207670394,0.290910717016061
1.69,0.463409499970293,0.541325314840555,0.29024449461877
1.7,0.468822753118699,0.544227759786743,0.289571984338168
1.71,0.474265030716566,0.547123479630125,0.288893194663551
1.72,0.479736265512867,0.550012411576761,0.288208134964346
1.73,0.485236389628635,0.552894492926404,0.287516815492555
1.74,0.490765334557899,0.55576966108133,0.286819247385019
1.75,0.496323031168712,0.55863785355518,0.286115442665516
1.76,0.501909409704264,0.561499007981835,0.285405414246676
1.77,0.507524399784082,0.564353062124302,0.284689175931721
1.78,0.513167930405325,0.567199953883619,0.283966742416022
1.79,0.518839929944161,0.570039621307779,0.283238129288474
1.8,0.524540326157239,0.572872002600664,0.282503353032686
1.81,0.530269046183246,0.575697036130991,0.281762431027985
1.82,0.536026016544556,0.578514660441271,0.281015381550228
1.83,0.541811163148969,0.581324814256773,0.280262223772427
1.84,0.547624411291537,0.584127436494497,0.279502977765183
1.85,0.553465685656482,0.586922466272149,0.278737664496919
1.86,0.559334910319203,0.589709842917118,0.277966305833924
1.87,0.565232008748374,0.592489505975457,0.277188924540197
1.88,0.571156903808129,0.595261395220859,0.276405544277094
1.89,0.577109517760338,0.59802545066363,0.27561618960277
1.9,0.583089772266974,0.600781612559658,0.274820885971427
1.91,0.589097588392571,0.603529821419372,0.274019659732351
1.92,0.595132886606765,0.606270018016696,0.273212538128749
1.93,0.601195586786932,0.609002143397983,0.27239954929638
1.94,0.607285608220912,0.611726138890947,0.271580722261981
1.95,0.613402869609821,0.614441946113567,0.270756086941481
1.96,0.619547289070957,0.617149506982982,0.26992567413801
1.97,0.625718784140787,0.619848763724362,0.269089515539696
1.98,0.631917271778031,0.622539658879759,0.268247643717253
1.99,0.638142668366829,0.625222135316932,0.26740009212136
2,0.644394889719998,0.627896136238146,0.266546895079821
2.01,0.650673851082379,0.630561605188944,0.26568808779452
2.02,0.656979467134268,0.633218486066889,0.26482370633816
2.03,0.663311651994937,0.635866723130271,0.263953787650787
2.04,0.66967031922624,0.638506261006779,0.263078369536102
2.05,0.676055381836308,0.64113704470214,0.262197490657558
2.06,0.682466752283329,0.643759019608716,0.261311190534243
2.07,0.688904342479416,0.646372131514058,0.260419509536547
2.08,0.695368063794557,0.648976326609423,0.259522488881617
2.09,0.701857827060651,0.651571551498239,0.258620170628593
2.1,0.708373542575633,0.654157753204525,0.257712597673636
2.11,0.714915120107678,0.656734879181261,0.256799813744734
2.12,0.721482468899491,0.659302877318708,0.255881863396299
2.13,0.728075497672678,0.661861695952671,0.25495879200355
2.14,0.734694114632205,0.664411283872707,0.25403064575668
2.15,0.741338227470932,0.666951590330274,0.253097471654812
2.16,0.748007743374235,0.669482565046822,0.252159317499742
2.17,0.754702569024703,0.672004158221819,0.251216231889473
2.18,0.761422610606921,0.674516320540714,0.250268264211535
2.19,0.768167773812328,0.677019003182829,0.249315464636095
2.2,0.774937963844156,0.67951215782919,0.248357884108863
2.21,0.781733085422448,0.681995736670279,0.247395574343783
2.22,0.788553042789151,0.684469692413717,0.246428587815525
2.23,0.795397739713288,0.686933978291872,0.245456977751764
2.24,0.802267079496207,0.68938854806939,0.244480798125261
2.25,0.809160964976901,0.691833356050643,0.243500103645737
2.26,0.816079298537407,0.6942683570871,0.242514949751547
2.27,0.823021982108278,0.696693506584615,0.241525392601157
2.28,0.829988917174124,0.699108760510627,0.240531489064417
2.29,0.83698000477923,0.701514075401271,0.239533296713643
2.3,0.843995145533243,0.703909408368407,0.238530873814502
2.31,0.851034239616927,0.706294717106552,0.237524279316706
2.32,0.858097186787993,0.708669959899719,0.236513572844512
2.33,0.86518388638699,0.711035095628164,0.235498814687037
2.34,0.872294237343272,0.713390083775034,0.234480065788385
2.35,0.879428138181022,0.715734884432918,0.23345738773759
2.36,0.886585487025351,0.718069458310294,0.232430842758377
2.37,0.893766181608454,0.720393766737878,0.231400493698744
2.38,0.900970119275833,0.722707771674865,0.230366404020367
2.39,0.908197196992582,0.725011435715069,0.22932863778783
2.4,0.915447311349733,0.727304722092947,0.228287259657685
