eta,f,f',f''
0,0,0,0.3155
0.1,0,0.03155,0.3155
0.2,0.003155,0.0631,0.3155
0.3,0.009465,0.09465,0.315450229875
0.4,0.01893,0.1261950229875,0.315300943053712
0.5,0.03154950229875,0.157725117292871,0.315002510711112
0.6,0.0473220140280371,0.189225368363982,0.314505602089322
0.7,0.0662445508644353,0.220675928572914,0.313761450163624
0.8,0.0883121437217267,0.252052073589276,0.312722200846391
0.9,0.113517351080654,0.283324293673915,0.311341342449085
1,0.141849780448046,0.314458427918824,0.309574210225249
1.1,0.173295623239928,0.345415848941349,0.307378558537608
1.2,0.207837208134063,0.37615370479511,0.30471519059399
1.3,0.245452578613574,0.406625223854509,0.301548632869535
1.4,0.286115100999025,0.436780087141463,0.297847838393774
1.5,0.329793109713171,0.46656487098084,0.293586900175555
1.6,0.376449596811255,0.495923560998396,0.288745753336558
1.7,0.426041952911095,0.524798136332052,0.283310842215333
1.8,0.4785217665443,0.553129220553585,0.277275726990418
1.9,0.533834688599659,0.580856793252627,0.270641603455453
2,0.591920367924922,0.607920953598172,0.263417709650315
2.1,0.652712463284739,0.634262724563204,0.255621594269607
2.2,0.716138735741059,0.659824883990165,0.247279224246383
2.3,0.782121224140076,0.684552806414803,0.238424912695041
2.4,0.850576504781556,0.708395297684307,0.229101053465914
2.5,0.921416034549987,0.731305403030898,0.219357654800974
2.6,0.994546574853077,0.753241168510995,0.209251671779229
2.7,1.06987069170418,0.774166335688918,0.198846145106713
2.8,1.14728732527307,0.794050950199589,0.188209161966312
2.9,1.22669242029303,0.81287186639622,0.177412662665101
3,1.30797960693265,0.83061313266273,0.166531124237337
3.1,1.39104092019892,0.847266245086464,0.155640158516237
3.2,1.47576754470757,0.862830260938088,0.14481506705012
3.3,1.56205057080138,0.8773117676431,0.134129398253259
3.4,1.64978174756569,0.890724707468426,0.123653553098122
3.5,1.73885421831253,0.903090062778238,0.113453484351976
3.6,1.82916322459035,0.914435411213436,0.103589530859592
3.7,1.92060676571169,0.924794364299395,0.0941154228445454
3.8,2.01308620214163,0.93420590658385,0.0850774869508929
3.9,2.10650679280002,0.942713655278939,0.0765140711962065
4,2.20077815832791,0.95036506239856,0.0684552006602268
4.1,2.29581466456777,0.957210582464583,0.0609224651383777
4.2,2.39153572281423,0.963302828978421,0.0539291306950624
4.3,2.48786600571207,0.968695742047927,0.0474804585671844
4.4,2.58473557991686,0.973443787904645,0.0415742076269385
4.5,2.68207995870732,0.977601208667339,0.0362012909439286
4.6,2.77984007957405,0.981221337761732,0.0313465530979264
4.7,2.87796221335022,0.984355993071525,0.0269896328650208
4.8,2.97639781265737,0.987054956358027,0.0231058756881345
4.9,3.07510330829317,0.98936554392684,0.0196672617952497
5,3.17403986268585,0.991332270106365,0.0166433187046677
5.1,3.27317308969649,0.992996601976832,0.0140019908538677
5.2,3.37247274989417,0.994396801062219,0.0117104438706149
5.3,3.47191243000039,0.99556784544928,0.0097357862284742
5.4,3.57146921454532,0.996541424072127,0.00804569636735089
5.5,3.67112335695253,0.997345993708862,0.00660894852307225
5.6,3.77085795632342,0.998006888561169,0.00539583525867488
5.7,3.87065864517954,0.998546472087036,0.00437848884286565
5.8,3.97051329238824,0.998984320971323,0.00353110705824265
5.9,4.07041172448537,0.999337431677147,0.00283009168266273
6,4.17034546765308,0.999620440845413,0.00225410976433878
6.1,4.27030751173762,0.999845851821847,0.00178408894237364
6.2,4.3702920969198,1.00002426071608,0.00140315852176233
6.3,4.47029452299141,1.00016457656826,0.00109654789184315
6.4,4.57031098064824,1.00027423135744,0.000851453290087939
6.5,4.67033840378398,1.00035937668645,0.00065688297402804
6.6,4.77037434145263,1.00042506498385,0.000503489685008291
6.7,4.87041684795102,1.00047541395235,0.00038339797128081
6.8,4.97046438934626,1.00051375374948,0.000290032574340995
6.9,5.07051576472121,1.00054275700691,0.000217952745215378
7,5.1705700404219,1.00056455228143,0.000162696103686436
7.1,5.27062649565004,1.0005808218918,0.000120634523715713
7.2,5.37068457783922,1.00059288534417,0.000088843547866405
7.3,5.47074386637364,1.00060176969896,0.0000649860142480739
7.4,5.57080404334354,1.00060826830038,0.0000472099223056879
7.5,5.67086487017358,1.00061298929261,0.0000340600610023649
7.6,5.77092616910284,1.00061639529871,0.0000244025608316509
7.7,5.87098780863271,1.00061883555479,0.000017361291986826
7.8,5.97104969218819,1.00062057168399,0.0000122648953069876
7.9,6.07111174935659,1.00062179817352,0.00000860318033961217
8,6.17117392917394,1.00062265849155,0.00000599163687752952
8.1,6.2712361950231,1.00062325765524,0.00000414286521294515
8.2,6.37129852078862,1.00062367194176,0.00000284382089921896
8.3,6.4713608879828,1.00062395632385,0.00000193787930478988
8.4,6.57142328361519,1.00062415011178,0.00000131084348785745
8.5,6.67148569862637,1.00062428119613,0.00000088013811699336
8.6,6.77154812674598,1.00062436920994,0.000000586546673976503
8.7,6.87161056366697,1.00062442786461,0.000000387955222405769
8.8,6.97167300645343,1.00062446666013,0.000000254661362180106
8.9,7.07173545311944,1.00062449212627,0.000000165890574955221
9,7.17179790233207,1.00062450871533,0.000000107233861942761
9.1,7.2718603532036,1.00062451943872,0.000000068780882635758
9.2,7.37192280514747,1.00062452631681,0.0000000437726339608921
9.3,7.47198525777915,1.00062453069407,0.0000000276382100340084
9.4,7.57204771084856,1.00062453345789,0.0000000173125951377327
9.5,7.67211016419435,1.00062453518915,0.0000000107580053186569
9.6,7.77217261771327,1.00062453626495,0.00000000663117522107068
9.7,7.87223507133977,1.00062453692807,0.00000000405424329724747
9.8,7.97229752503258,1.00062453733349,0.00000000245844548363068
9.9,8.07235997876593,1.00062453757933,0.00000000147847254140186
10,8.17242243252386,1.00062453772718,0.000000000881734412756024
