eta,f,f',f''
0,0,0,0.2
0.1,0,0.02,0.2
0.2,0.002,0.04,0.2
0.3,0.006,0.06,0.19998
0.4,0.012,0.079998,0.199920006
0.5,0.0199998,0.0999900006,0.1998000539964
0.6,0.02999880006,0.11997000599964,0.199600255940404
0.7,0.041995800659964,0.13993003159368,0.19930086753191
0.8,0.055988803819332,0.159860118346871,0.198882377556699
0.9,0.0719748156540191,0.179748356102541,0.198325618235692
1,0.0899496512642732,0.19958091792611,0.197611895745093
1.1,0.109907743056884,0.219342107500619,0.196723139689696
1.2,0.131841953806946,0.239014421469589,0.195642069875178
1.3,0.155743395953905,0.258578628457107,0.194352378238219
1.4,0.181601258799616,0.278013866280929,0.192838923268292
1.5,0.209402645427709,0.297297758607758,0.191087933707738
1.6,0.239132421288485,0.316406551978532,0.189087217766352
1.7,0.270773076486338,0.335315273755167,0.186826373555393
1.8,0.304304603861855,0.353997911110706,0.184296995958574
1.9,0.339704394972926,0.372427610706563,0.181492874741169
2,0.376947156043582,0.39057689818068,0.178410178380877
2.1,0.41600484586165,0.408417916018768,0.175047617913382
2.2,0.456846637463527,0.425922677810106,0.171406585047957
2.3,0.499438905244538,0.443063336314902,0.167491258947044
2.4,0.543745238876028,0.459812462209606,0.163308676396717
2.5,0.589726485096989,0.476143329849278,0.158868760633824
2.6,0.637340818081917,0.49203020591266,0.154184304843809
2.7,0.686543838673183,0.507448636397041,0.149270907294582
2.8,0.737288702312887,0.522375727126499,0.144146856209769
2.9,0.789526275025537,0.536790412747476,0.1388329637819
3,0.843205316300285,0.550673709125666,0.133352350144626
3.1,0.898272687212852,0.564008944140129,0.127730179615472
3.2,0.954673581626865,0.576781962101676,0.121993353031403
3.3,1.01235177783703,0.588981297404816,0.116170161467745
3.4,1.07124990757751,0.600598313551591,0.110289907993071
3.5,1.13130973893267,0.611627304350898,0.104382505305856
3.6,1.19247246936776,0.622065554881484,0.0984780580645207
3.7,1.25467902485591,0.631913360687936,0.0926064394105837
3.8,1.3178703609247,0.641174004628994,0.0867968715558312
3.9,1.3819877613876,0.649853691784577,0.0810775203336103
4,1.44697313056606,0.657961443817938,0.0754751132923751
4.1,1.51276927494785,0.665508955147176,0.0700145902443503
4.2,1.57932017046257,0.672510414171611,0.0647187941983645
4.3,1.64657121187973,0.678982293591447,0.0596082093440898
4.4,1.71446944123887,0.684943114525856,0.0547007512692059
4.5,1.78296375269146,0.690413189652777,0.0500116129460128
4.6,1.85200507165674,0.695414350947378,0.045553168291194
4.7,1.92154650675148,0.699969667776497,0.0413349333559278
4.8,1.99154347352913,0.70410316111209,0.0373635835160834
4.9,2.06195378964034,0.707839519463698,0.0336430234711276
5,2.13273774158671,0.711203821810811,0.0301745054840651
5.1,2.20385812376779,0.714221272359218,0.0269567901500861
5.2,2.27528025100371,0.716916951374227,0.0239863431019376
5.3,2.34697194614113,0.719315585684421,0.0212575604642557
5.4,2.41890350470957,0.721441341730847,0.0187630155616054
5.5,2.49104763888265,0.723317643287008,0.016493719356561
5.6,2.56337940321135,0.724967015222664,0.0144393873235833
5.7,2.63587610473362,0.726410953955022,0.0125887059205701
5.8,2.70851720012912,0.727669824547079,0.0109295924642926
5.9,2.78128418258383,0.728762783793508,0.00944944300529569
6,2.85416046096318,0.729707728094038,0.00813536368705287
6.1,2.92713123377258,0.730521264462743,0.00697438201849577
6.2,3.00018336021885,0.731218702664593,0.00595363544636573
6.3,3.07330523048531,0.73181406620923,0.00506053554641595
6.4,3.14648663710623,0.732320119763872,0.0042829070282231
6.5,3.21971864908262,0.732748410466694,0.00360910154160948
6.6,3.29299349012929,0.733109320620855,0.00302808696461184
6.7,3.36630442219138,0.733412129317316,0.00252951343151123
6.8,3.43964563512311,0.733665080660467,0.00210375781898679
6.9,3.51301214318916,0.733875456442366,0.00174194874901509
7,3.5863996888334,0.734049651317268,0.00143597439360993
7.1,3.65980465396513,0.734193248756629,0.00117847548768916
7.2,3.73322397884079,0.734311096305398,0.000962825983967729
7.3,3.80665508847133,0.734407378903795,0.000783103731427764
7.4,3.88009582636171,0.734485689276938,0.000634053441225745
7.5,3.9535443952894,0.734549094621061,0.00051104403567623
7.6,4.02699930475151,0.734600199024629,0.000410022271526538
7.7,4.10045932465397,0.734641201251782,0.000327464301408038
7.8,4.17392344477915,0.734673947681923,0.000260326598998044
7.9,4.24739083954734,0.734699980341823,0.000205997434255166
8,4.32086083758152,0.734720580085249,0.000162249853493884
8.1,4.39433289559004,0.734736805070598,0.000127196901600631
8.2,4.4678065760971,0.734749524760758,0.0000992496251545919
8.3,4.54128152857318,0.734759449723273,0.000077078218757549
8.4,4.61475747354551,0.734767157545149,0.0000595765242026
8.5,4.68823418930002,0.734773115197569,0.0000458299636870093
8.6,4.76171150081978,0.734777698193938,0.0000350868835544185
8.7,4.83518927063917,0.734781206882293,0.0000267332027069686
8.8,4.9086673913274,0.734783880202564,0.0000202701979620408
8.9,4.98214577934766,0.73478590722236,0.0000152952149744398
9,5.0556243700699,0.734787436743857,0.0000114850654379838
9.1,5.12910311374429,0.734788585250401,0.00000858185660197788
9.2,5.20258197226933,0.734789443436061,0.00000638099523103229
9.3,5.27606091661294,0.734790081535584,0.00000472111269332703
9.4,5.3495399247665,0.734790553646853,0.00000347566878511763
9.5,5.42301898013119,0.734790901213732,0.00000254600733855506
9.6,5.49649807025256,0.734791155814466,0.00000185565503252819
9.7,5.56997718583401,0.734791341379969,0.00000134567481726091
9.8,5.64345631997201,0.734791475947451,0.000000970905915676179
9.9,5.71693546756676,0.734791573038043,0.000000696942659380132
10,5.79041462487056,0.734791642732309,0.000000497723848966603
